ObjectID,GlobalID,CreationDate,Creator,EditDate,Editor,Date,Monitor Name(s),Daylight Hours,Temperature Low (F),Temperature High (F),Soil Moisture (%),Inundation Treatment,Replicate,Species,Other - Species,Population,Other - Population,Density Treatment,Plant ID,Phenological Stage,Other - Phenological Stage,Notes,Water Level (cm),Plant ID,x,y
943,7c74335d-ca45-4d6e-a1d2-e9be43605eaa,4/21/2023 10:28:09 PM,fhasan@umail.ucsb.edu_ucsb,4/21/2023 10:28:09 PM,fhasan@umail.ucsb.edu_ucsb,4/19/2023 7:00:00 PM,Fez and Ricky,13.25,46,70,57,D,2,ELMA,,CP,,10,,Survived,,,0,JUBU1,-119.843454839893,34.4130648764464
944,889595c6-1ad6-49a7-a14b-4defd84d1513,4/21/2023 10:28:09 PM,fhasan@umail.ucsb.edu_ucsb,4/21/2023 10:28:09 PM,fhasan@umail.ucsb.edu_ucsb,4/19/2023 7:00:00 PM,Fez and Ricky,13.25,46,70,51.5,H,1,ELMA,,IV,,10,,other,Soil moisture ,,19,0,-119.843458730436,34.413071495268
945,c5b73e0d-e6e2-48e2-ba0f-ccd2386115ce,4/21/2023 10:28:10 PM,fhasan@umail.ucsb.edu_ucsb,4/21/2023 10:28:10 PM,fhasan@umail.ucsb.edu_ucsb,4/19/2023 7:00:00 PM,Fez and Ricky,13.25,46,70,54,H,1,ELMA,,CP,,10,,other,Soil moisture ,,19,0,-119.843438635046,34.4130561767423
946,6eb7dfa1-442e-4cd0-9582-436773d9c5df,4/21/2023 10:28:10 PM,fhasan@umail.ucsb.edu_ucsb,4/21/2023 10:28:10 PM,fhasan@umail.ucsb.edu_ucsb,4/19/2023 7:00:00 PM,Fez and Ricky,13.25,46,70,52.5,H,1,DEFA,,CP,,5+5,,other,Soil moisture ,,19,0,-119.843444697407,34.4130550122613
947,ad8be50b-6574-491d-a528-04a7fac750ce,4/21/2023 10:28:11 PM,fhasan@umail.ucsb.edu_ucsb,4/21/2023 10:28:11 PM,fhasan@umail.ucsb.edu_ucsb,4/19/2023 7:00:00 PM,Fez and Ricky,13.25,46,70,54,H,1,JUBU,,IV,,5+5,,Survived,,,19,JUBU1,-119.843449244987,34.4130542612044
948,8073ae65-8a70-4c3d-b335-d4f1a000a270,4/21/2023 10:28:12 PM,fhasan@umail.ucsb.edu_ucsb,4/21/2023 10:28:12 PM,fhasan@umail.ucsb.edu_ucsb,4/19/2023 7:00:00 PM,Fez and Ricky,13.25,46,70,53.5,H,1,ELMA,,IV,,5+5,,other,Soil moisture ,,19,0,-119.843458988713,34.4130560153269
949,7c9f5e2b-f9d6-4561-9d83-70e3eba192fb,4/21/2023 10:28:13 PM,fhasan@umail.ucsb.edu_ucsb,4/21/2023 10:28:13 PM,fhasan@umail.ucsb.edu_ucsb,4/19/2023 7:00:00 PM,Fez and Ricky,13.25,46,70,52,H,1,ELMA,,IV,,5,,other,Soil moisture ,,19,0,-119.843455664407,34.4130482204356
950,6d7605fb-7082-4a42-8f34-a86afebc62a9,4/21/2023 10:28:13 PM,fhasan@umail.ucsb.edu_ucsb,4/21/2023 10:28:13 PM,fhasan@umail.ucsb.edu_ucsb,4/19/2023 7:00:00 PM,Fez and Ricky,13.25,46,70,54,H,1,JUBU,,M,,5+5,,other,Soil moisture ,,19,0,-119.843449172469,34.4130481422011
951,2ec7b192-fdd6-4352-be7b-227b87ec96a8,4/21/2023 10:28:13 PM,fhasan@umail.ucsb.edu_ucsb,4/21/2023 10:28:13 PM,fhasan@umail.ucsb.edu_ucsb,4/19/2023 7:00:00 PM,Fez and Ricky,13.25,46,70,51.5,H,1,DEFA,,M,,5,,other,Soil moisture ,,19,0,-119.843446315679,34.4130545200049
952,4c854ba6-bf4b-4207-ac42-f96774ffe3cf,4/21/2023 10:28:14 PM,fhasan@umail.ucsb.edu_ucsb,4/21/2023 10:28:14 PM,fhasan@umail.ucsb.edu_ucsb,4/19/2023 7:00:00 PM,Fez and Ricky,13.25,46,70,52.5,H,1,ELMA,,DC,,5+5,,other,Soil moisture ,,19,0,-119.843456009992,34.4130537989005
953,c6aae67b-bac3-4f1f-b054-aa2717ad8b34,4/21/2023 10:28:15 PM,fhasan@umail.ucsb.edu_ucsb,4/21/2023 10:28:15 PM,fhasan@umail.ucsb.edu_ucsb,4/19/2023 7:00:00 PM,Fez and Ricky,13.25,46,70,55,H,1,ELMA,,M,,5,,Germinated,,,19,DICOT1,-119.843434101986,34.4130451215844
954,2b9a8f32-e2aa-4e64-98bd-2f495d8ca853,4/21/2023 10:28:15 PM,fhasan@umail.ucsb.edu_ucsb,4/21/2023 10:28:15 PM,fhasan@umail.ucsb.edu_ucsb,4/19/2023 7:00:00 PM,Fez and Ricky,13.25,46,70,56.5,H,1,DEFA,,A,,5,,other,Soil moisture ,,19,0,-119.843432088652,34.413058195867
955,c05c635f-6c46-40a8-99de-a22517c4b727,4/21/2023 10:28:16 PM,fhasan@umail.ucsb.edu_ucsb,4/21/2023 10:28:16 PM,fhasan@umail.ucsb.edu_ucsb,4/19/2023 7:00:00 PM,Fez and Ricky,13.25,46,70,56.5,H,1,DEFA,,M,,10,,other,Soil moisture ,,19,0,-119.843424320023,34.4130631579987
956,824306e1-bd7f-47ac-8aab-9ceda3aa2ae5,4/21/2023 10:28:16 PM,fhasan@umail.ucsb.edu_ucsb,4/21/2023 10:28:16 PM,fhasan@umail.ucsb.edu_ucsb,4/19/2023 7:00:00 PM,Fez and Ricky,13.25,46,70,55.5,H,1,DEFA,,CP,,5,,other,Soil moisture ,,19,0,-119.843437385519,34.4130612257919
957,5d1b89ae-b625-4552-8706-685dd1178529,4/21/2023 10:28:17 PM,fhasan@umail.ucsb.edu_ucsb,4/21/2023 10:28:17 PM,fhasan@umail.ucsb.edu_ucsb,4/19/2023 7:00:00 PM,Fez and Ricky,13.25,46,70,53.5,H,1,DEFA,,A,,5+5,,other,Soil moisture ,,19,0,-119.843438421239,34.4130642746123
958,ed3a1db5-0117-4867-9b19-1aff93ae5f53,4/21/2023 10:28:17 PM,fhasan@umail.ucsb.edu_ucsb,4/21/2023 10:28:17 PM,fhasan@umail.ucsb.edu_ucsb,4/19/2023 7:00:00 PM,Fez and Ricky,13.25,46,70,56,H,1,DEFA,,IV,,10,,other,Soil moisture ,,19,0,-119.843446703587,34.4130820245186
959,8733caac-c1f5-4d9f-8fed-088a62f09e9a,4/21/2023 10:28:18 PM,fhasan@umail.ucsb.edu_ucsb,4/21/2023 10:28:18 PM,fhasan@umail.ucsb.edu_ucsb,4/19/2023 7:00:00 PM,Fez and Ricky,13.25,46,70,57,H,1,JUBU,,A,,10,,other,Soil moisture ,,19,0,-119.843438135615,34.4130826258297
960,74f483aa-a590-4b19-8cc6-8822a97a50c4,4/21/2023 10:28:18 PM,fhasan@umail.ucsb.edu_ucsb,4/21/2023 10:28:18 PM,fhasan@umail.ucsb.edu_ucsb,4/19/2023 7:00:00 PM,Fez and Ricky,13.25,46,70,54,H,1,ELMA,,CP,,5+5,,other,Soil moisture ,,19,0,-119.843436332949,34.4130847650886
961,47d31b70-ad7d-4064-9c40-b582440d0997,4/21/2023 10:28:18 PM,fhasan@umail.ucsb.edu_ucsb,4/21/2023 10:28:18 PM,fhasan@umail.ucsb.edu_ucsb,4/19/2023 7:00:00 PM,Fez and Ricky,13.25,46,70,54.5,H,1,ELMA,,DC,,5,,other,Soil moisture ,,19,0,-119.843435907706,34.4130741083658
962,0cb4db7a-4433-4df0-84dd-5d4880dba23e,4/21/2023 10:28:19 PM,fhasan@umail.ucsb.edu_ucsb,4/21/2023 10:28:19 PM,fhasan@umail.ucsb.edu_ucsb,4/19/2023 7:00:00 PM,Fez and Ricky,13.25,46,70,55.5,H,1,ELMA,,M,,5,,other,Soil moisture ,,19,0,-119.843430938922,34.4130802594937
963,884da0d4-7385-47c2-af34-4dca46570478,4/21/2023 10:28:20 PM,fhasan@umail.ucsb.edu_ucsb,5/22/2023 1:11:45 AM,joannatang@umail.ucsb.edu_ucsb,4/19/2023 7:00:00 PM,Fez and Ricky,13.25,46,70,53.5,H,1,JUBU,,A,,5,,Survived,,,19,LYAR1,-119.843438754549,34.413077722393
964,b1037cbb-88eb-4ffe-9f37-04159136eaa5,4/21/2023 10:28:21 PM,fhasan@umail.ucsb.edu_ucsb,4/21/2023 10:28:21 PM,fhasan@umail.ucsb.edu_ucsb,4/19/2023 7:00:00 PM,Fez and Ricky,13.25,46,70,53.5,H,1,JUBU,,A,,5,,Survived,,,19,DICOT2,-119.84344254082,34.4130890280985
965,f4ef27b6-d49f-4ef3-a78a-1b2daf30c021,4/21/2023 10:28:22 PM,fhasan@umail.ucsb.edu_ucsb,4/21/2023 10:28:22 PM,fhasan@umail.ucsb.edu_ucsb,4/19/2023 7:00:00 PM,Fez and Ricky,13.25,46,70,52.5,H,1,DEFA,,IV,,5+5,,other,Soil moisture ,,19,0,-119.843440050292,34.4130965732311
966,78270644-0f1f-40fc-aeb9-9fcb39134e15,4/21/2023 10:28:22 PM,fhasan@umail.ucsb.edu_ucsb,4/21/2023 10:28:22 PM,fhasan@umail.ucsb.edu_ucsb,4/19/2023 7:00:00 PM,Fez and Ricky,13.25,46,70,55.5,H,1,ELMA,,M,,10,,other,Soil moisture ,,19,0,-119.843439796945,34.4130941707223
967,3d0c41a1-921d-42c4-bec6-317f1397ba54,4/21/2023 10:28:23 PM,fhasan@umail.ucsb.edu_ucsb,4/21/2023 10:28:23 PM,fhasan@umail.ucsb.edu_ucsb,4/19/2023 7:00:00 PM,Fez and Ricky,13.25,46,70,52,H,1,ELMA,,DC,,10,,other,Soil moisture ,,19,0,-119.843441942735,34.4130856863891
968,e1147d62-0423-40f2-9832-277b4bb71842,4/21/2023 10:28:23 PM,fhasan@umail.ucsb.edu_ucsb,4/21/2023 10:28:23 PM,fhasan@umail.ucsb.edu_ucsb,4/19/2023 7:00:00 PM,Fez and Ricky,13.25,46,70,52.5,H,1,DEFA,,CP,,10,,other,Soil moisture ,,19,0,-119.84346324523,34.4131229987449
969,7b716096-c427-4189-b631-4f8be77c1888,4/21/2023 10:28:26 PM,fhasan@umail.ucsb.edu_ucsb,4/21/2023 10:28:26 PM,fhasan@umail.ucsb.edu_ucsb,4/19/2023 7:00:00 PM,Fez and Ricky,13.25,46,70,55.5,H,1,JUBU,,IV,,5,,Survived,,,19,JUBU1,-119.843445580289,34.4131085116659
970,6b4f2007-51a3-41f8-aa46-f2b76e2a04d8,4/21/2023 10:28:30 PM,fhasan@umail.ucsb.edu_ucsb,4/21/2023 10:28:30 PM,fhasan@umail.ucsb.edu_ucsb,4/19/2023 7:00:00 PM,Fez and Ricky,13.25,46,70,55.5,H,1,DEFA,,A,,10,,Survived,,,19,DICOT1,-119.843440128982,34.413105951338
971,a6ec841f-b2c8-44eb-a2a5-cb7d0a256eaf,4/21/2023 10:28:30 PM,fhasan@umail.ucsb.edu_ucsb,4/21/2023 10:28:30 PM,fhasan@umail.ucsb.edu_ucsb,4/19/2023 7:00:00 PM,Fez and Ricky,13.25,46,70,54,H,1,JUBU,,M,,5,,other,Soil moisture ,,19,0,-119.843445498693,34.413094356518
972,5166db8e-6536-47b5-83d4-6c194db4147f,4/21/2023 10:28:32 PM,fhasan@umail.ucsb.edu_ucsb,4/21/2023 10:28:32 PM,fhasan@umail.ucsb.edu_ucsb,4/19/2023 7:00:00 PM,Fez and Ricky,13.25,46,70,53,H,1,DEFA,,M,,5+5,,other,Soil moisture ,,19,0,-119.843444308012,34.4130839140808
973,b4613ac2-f93c-467a-8950-2156b94e4109,4/21/2023 10:28:32 PM,fhasan@umail.ucsb.edu_ucsb,4/21/2023 10:28:32 PM,fhasan@umail.ucsb.edu_ucsb,4/19/2023 7:00:00 PM,Fez and Ricky,13.25,46,70,55.5,H,1,JUBU,,IV,,10,,other,Soil moisture ,,19,0,-119.843442788574,34.4130804005951
974,caf378a8-389e-4694-9ed8-32c8001bf030,4/21/2023 10:28:33 PM,fhasan@umail.ucsb.edu_ucsb,4/21/2023 10:28:33 PM,fhasan@umail.ucsb.edu_ucsb,4/19/2023 7:00:00 PM,Fez and Ricky,13.25,46,70,56,H,1,ELMA,,CP,,5,,other,Soil moisture ,,19,0,-119.843441054849,34.4130817670931
975,3c6128fb-66dd-4d03-9a0a-b00f0b9731da,4/21/2023 10:28:33 PM,fhasan@umail.ucsb.edu_ucsb,4/21/2023 10:28:33 PM,fhasan@umail.ucsb.edu_ucsb,4/19/2023 7:00:00 PM,Fez and Ricky,13.25,46,70,56,H,1,JUBU,,A,,5+5,,other,Soil moisture ,,19,0,-119.843436562409,34.4130808512317
976,8e8c59aa-b926-4f7a-90cb-a605655a4cae,4/21/2023 10:28:33 PM,fhasan@umail.ucsb.edu_ucsb,4/21/2023 10:28:33 PM,fhasan@umail.ucsb.edu_ucsb,4/19/2023 7:00:00 PM,Fez and Ricky,13.25,46,70,57,H,1,JUBU,,M,,10,,other,Soil moisture ,,19,0,-119.843432642542,34.4130839633801
977,735dc214-eada-46a2-a2ec-e9400f52ff52,4/21/2023 10:28:34 PM,fhasan@umail.ucsb.edu_ucsb,4/21/2023 10:28:34 PM,fhasan@umail.ucsb.edu_ucsb,4/19/2023 7:00:00 PM,Fez and Ricky,13.25,46,70,59,H,1,DEFA,,IV,,5,,other,Soil moisture ,,19,0,-119.843433920689,34.4130771232625
978,e6e16bdd-8270-40f6-8f7a-8f67f7cbe935,4/21/2023 10:28:35 PM,fhasan@umail.ucsb.edu_ucsb,4/21/2023 10:28:35 PM,fhasan@umail.ucsb.edu_ucsb,4/19/2023 7:00:00 PM,Fez and Ricky,13.25,46,70,50.5,S,3,ELMA,,M,,5,,Survived,,,5.2,JUBU1,-119.84342792107,34.4130794484238
979,0ccfbb2d-7701-4c5d-a856-64c509fc9a5f,4/21/2023 10:28:36 PM,fhasan@umail.ucsb.edu_ucsb,4/21/2023 10:28:36 PM,fhasan@umail.ucsb.edu_ucsb,4/19/2023 7:00:00 PM,Fez and Ricky,13.25,46,70,51.5,S,3,DEFA,,IV,,5+5,,other,Soil moisture ,,5.2,0,-119.843444391596,34.4130945842672
980,c8667007-e10d-4425-b887-1b78e5bdbfb3,4/21/2023 10:28:38 PM,fhasan@umail.ucsb.edu_ucsb,4/21/2023 10:28:38 PM,fhasan@umail.ucsb.edu_ucsb,4/19/2023 7:00:00 PM,Fez and Ricky,13.25,46,70,54,S,3,ELMA,,CP,,10,,Survived,,,5.2,DICOT1,-119.843445255497,34.4131009828931
981,ec090568-c1b5-40c5-bd6e-01df4a505beb,4/21/2023 10:28:40 PM,fhasan@umail.ucsb.edu_ucsb,4/21/2023 10:28:40 PM,fhasan@umail.ucsb.edu_ucsb,4/19/2023 7:00:00 PM,Fez and Ricky,13.25,46,70,52.5,S,3,ELMA,,IV,,10,,Survived,,,5.2,DICOT1,-119.843445749787,34.4130992297231
982,ffa5a5c6-d34b-4583-b5f5-48860105875d,4/21/2023 10:28:42 PM,fhasan@umail.ucsb.edu_ucsb,4/21/2023 10:28:42 PM,fhasan@umail.ucsb.edu_ucsb,4/19/2023 7:00:00 PM,Fez and Ricky,13.25,46,70,52.5,S,3,ELMA,,IV,,10,,Germinated,,,5.2,DICOT2,-119.843443092522,34.413100979838
983,f1a36e75-f1a2-4765-972c-40bd68f37f3b,4/21/2023 10:28:44 PM,fhasan@umail.ucsb.edu_ucsb,4/21/2023 10:28:44 PM,fhasan@umail.ucsb.edu_ucsb,4/19/2023 7:00:00 PM,Fez and Ricky,13.25,46,70,52.5,S,3,ELMA,,IV,,10,,Germinated,,,5.2,DICOT3,-119.843429229741,34.4131026136803
984,f4d29181-3696-4687-8dbb-43d3a8d1cd05,4/21/2023 10:28:44 PM,fhasan@umail.ucsb.edu_ucsb,4/21/2023 10:28:44 PM,fhasan@umail.ucsb.edu_ucsb,4/19/2023 7:00:00 PM,Fez and Ricky,13.25,46,70,53,S,3,JUBU,,M,,5,,other,Soil moisture ,,5.2,0,-119.843422923435,34.4131087017113
985,9bda464c-e6d0-4bc4-bb11-72a76bf2f1df,4/21/2023 10:28:46 PM,fhasan@umail.ucsb.edu_ucsb,4/21/2023 10:28:46 PM,fhasan@umail.ucsb.edu_ucsb,4/19/2023 7:00:00 PM,Fez and Ricky,13.25,46,70,51.5,S,3,JUBU,,M,,5+5,,Germinated,,,5.2,DICOT1,-119.843427849501,34.4130945442245
986,1507c33e-fe1b-4fb9-bd82-e62edcd4d6db,4/21/2023 10:28:47 PM,fhasan@umail.ucsb.edu_ucsb,4/21/2023 10:28:47 PM,fhasan@umail.ucsb.edu_ucsb,4/19/2023 7:00:00 PM,Fez and Ricky,13.25,46,70,51.5,S,3,JUBU,,M,,5+5,,Germinated,,,5.2,DICOT2,-119.843425018758,34.4130905452117
987,b69dbfdf-b6fa-4eb2-891c-3c4b2dda3c26,4/21/2023 10:28:49 PM,fhasan@umail.ucsb.edu_ucsb,4/21/2023 10:28:49 PM,fhasan@umail.ucsb.edu_ucsb,4/19/2023 7:00:00 PM,Fez and Ricky,13.25,46,70,51.5,S,3,JUBU,,M,,5+5,,Germinated,,,5.2,FEPE1,-119.843425260593,34.413084276357
988,ad89083c-b923-4f37-8308-a470b1013c63,4/21/2023 10:28:50 PM,fhasan@umail.ucsb.edu_ucsb,4/21/2023 10:28:50 PM,fhasan@umail.ucsb.edu_ucsb,4/19/2023 7:00:00 PM,Fez and Ricky,13.25,46,70,51,S,3,ELMA,,DC,,5,,other,Soil moisture ,,5.2,0,-119.843427027468,34.4130845377199
989,e187b609-7299-43c9-9dad-d786e11a828c,4/21/2023 10:28:51 PM,fhasan@umail.ucsb.edu_ucsb,5/22/2023 1:50:43 AM,joannatang@umail.ucsb.edu_ucsb,4/19/2023 7:00:00 PM,Fez and Ricky,13.25,46,70,49.5,S,3,ELMA,,CP,,5,,Survived,,,5.2,DICOT1,-119.84343767569,34.4130899998368
990,4d90b56b-df33-4217-9583-404ec85e703d,4/21/2023 10:28:51 PM,fhasan@umail.ucsb.edu_ucsb,4/21/2023 10:28:51 PM,fhasan@umail.ucsb.edu_ucsb,4/19/2023 7:00:00 PM,Fez and Ricky,13.25,46,70,52.5,S,3,ELMA,,DC,,10,,other,Soil moisture ,,5.2,0,-119.843441402211,34.4130949029422
991,96bb20e3-dfac-4d26-b553-4b7a8a15a155,4/21/2023 10:28:53 PM,fhasan@umail.ucsb.edu_ucsb,4/21/2023 10:28:53 PM,fhasan@umail.ucsb.edu_ucsb,4/19/2023 7:00:00 PM,Fez and Ricky,13.25,46,70,55,S,3,ELMA,,M,,10,,Survived,,,5.2,JUBU1,-119.843452655916,34.4130933986072
992,7ebb06c9-e261-45cf-98a0-9242461319a0,4/21/2023 10:28:54 PM,fhasan@umail.ucsb.edu_ucsb,4/21/2023 10:28:54 PM,fhasan@umail.ucsb.edu_ucsb,4/19/2023 7:00:00 PM,Fez and Ricky,13.25,46,70,55,S,3,ELMA,,M,,10,,Survived,,,5.2,JUBU2,-119.843452933367,34.4130874281669
993,409d44c0-04c1-4dd9-a9ac-6185ec680808,4/21/2023 10:28:55 PM,fhasan@umail.ucsb.edu_ucsb,4/21/2023 10:28:55 PM,fhasan@umail.ucsb.edu_ucsb,4/19/2023 7:00:00 PM,Fez and Ricky,13.25,46,70,50,S,3,ELMA,,IV,,5,,other,Soil moisture ,,5.2,0,-119.843450762002,34.4130873852946
994,df662e4a-6bf7-4c80-822b-bbc43ee4dd1b,4/21/2023 10:28:56 PM,fhasan@umail.ucsb.edu_ucsb,4/21/2023 10:28:56 PM,fhasan@umail.ucsb.edu_ucsb,4/19/2023 7:00:00 PM,Fez and Ricky,13.25,46,70,49.5,S,3,JUBU,,M,,10,,Survived,,,5.2,JUBU1,-119.843421333867,34.4130831225843
995,e24a3b17-87fa-4c5e-9b80-a1b1bda841ab,4/21/2023 10:28:58 PM,fhasan@umail.ucsb.edu_ucsb,4/21/2023 10:28:58 PM,fhasan@umail.ucsb.edu_ucsb,4/19/2023 7:00:00 PM,Fez and Ricky,13.25,46,70,49.5,S,3,JUBU,,M,,10,,Survived,,,5.2,JUBU2,-119.843428181153,34.4130806736406
996,bd72d884-64ba-49aa-aa2b-4ce2d54420c0,4/21/2023 10:28:59 PM,fhasan@umail.ucsb.edu_ucsb,4/21/2023 10:28:59 PM,fhasan@umail.ucsb.edu_ucsb,4/19/2023 7:00:00 PM,Fez and Ricky,13.25,46,70,49.5,S,3,JUBU,,M,,10,,Survived,,,5.2,JUBU3,-119.84342212548,34.4130731629837
997,a60cbc75-7122-4ca0-922a-ff80a1b19a58,4/21/2023 10:29:00 PM,fhasan@umail.ucsb.edu_ucsb,4/21/2023 10:29:00 PM,fhasan@umail.ucsb.edu_ucsb,4/19/2023 7:00:00 PM,Fez and Ricky,13.25,46,70,51,S,3,ELMA,,CP,,5+5,,other,Soil moisture ,,5.2,0,-119.843416487818,34.4130692113827
998,07514983-b2bd-40ee-922b-7c5c12094067,4/21/2023 10:29:01 PM,fhasan@umail.ucsb.edu_ucsb,4/21/2023 10:29:01 PM,fhasan@umail.ucsb.edu_ucsb,4/19/2023 7:00:00 PM,Fez and Ricky,13.25,46,70,49.5,S,3,DEFA,,IV,,5,,Survived,,,5.2,DEFA1,-119.843413000623,34.413065598786
999,b008c465-c69f-476a-bac1-d00ea027f65a,4/21/2023 10:29:02 PM,fhasan@umail.ucsb.edu_ucsb,4/21/2023 10:29:02 PM,fhasan@umail.ucsb.edu_ucsb,4/19/2023 7:00:00 PM,Fez and Ricky,13.25,46,70,49.5,S,3,DEFA,,IV,,5,,Survived,,,5.2,DICOT1,-119.843428522663,34.4130785175788
1000,71719e96-e3a3-4e01-a735-fa3c34b27eb8,4/21/2023 10:29:03 PM,fhasan@umail.ucsb.edu_ucsb,4/21/2023 10:29:03 PM,fhasan@umail.ucsb.edu_ucsb,4/19/2023 7:00:00 PM,Fez and Ricky,13.25,46,70,54,S,3,DEFA,,CP,,5,,other,Soil moisture ,,5.2,0,-119.84343895919,34.4130921727689
1001,bb2c8d0a-769c-444d-8f26-e558cda8ff88,4/21/2023 10:29:04 PM,fhasan@umail.ucsb.edu_ucsb,4/21/2023 10:29:04 PM,fhasan@umail.ucsb.edu_ucsb,4/19/2023 7:00:00 PM,Fez and Ricky,13.25,46,70,51,S,3,DEFA,,A,,5+5,,other,Disappeared,,5.2,JUBU1,-119.843431943282,34.4130847567479
1002,2d8fbf6d-e9ff-4753-956b-4e5aacfb7449,4/21/2023 10:29:06 PM,fhasan@umail.ucsb.edu_ucsb,4/21/2023 10:29:06 PM,fhasan@umail.ucsb.edu_ucsb,4/19/2023 7:00:00 PM,Fez and Ricky,13.25,46,70,48,S,3,JUBU,,IV,,5+5,,Survived,,,5.2,JUBU1,-119.843442339445,34.4130867778926
1003,016f2aa7-a788-4da0-9408-55fa7f49b58d,4/21/2023 10:29:07 PM,fhasan@umail.ucsb.edu_ucsb,4/21/2023 10:29:07 PM,fhasan@umail.ucsb.edu_ucsb,4/19/2023 7:00:00 PM,Fez and Ricky,13.25,46,70,48,S,3,JUBU,,IV,,5+5,,Survived,,,5.2,JUBU2,-119.843426429915,34.4130910328133
1004,091d3b2a-67a3-41e6-b398-1e962adc9674,4/21/2023 10:29:09 PM,fhasan@umail.ucsb.edu_ucsb,4/21/2023 10:29:09 PM,fhasan@umail.ucsb.edu_ucsb,4/19/2023 7:00:00 PM,Fez and Ricky,13.25,46,70,48,S,3,JUBU,,IV,,5+5,,Survived,,,5.2,FEPE1,-119.84343986989,34.4130910704337
1005,fb10125b-b2a9-446e-948b-00263755aefd,4/21/2023 10:29:10 PM,fhasan@umail.ucsb.edu_ucsb,4/21/2023 10:29:10 PM,fhasan@umail.ucsb.edu_ucsb,4/19/2023 7:00:00 PM,Fez and Ricky,13.25,46,70,48,S,3,JUBU,,IV,,5+5,,Germinated,,,5.2,JUBU3,-119.843446059925,34.4130897715933
1006,adea1f6e-9e11-4b5b-818a-b565cbae669b,4/21/2023 10:29:12 PM,fhasan@umail.ucsb.edu_ucsb,4/21/2023 10:29:12 PM,fhasan@umail.ucsb.edu_ucsb,4/19/2023 7:00:00 PM,Fez and Ricky,13.25,46,70,50.5,S,3,JUBU,,IV,,5,,other,Disappeared ,,5.2,JUBU1,-119.843437788886,34.4130911816572
1007,f3ca5f01-2887-46be-bfc1-9ed6e39a3d46,4/21/2023 10:29:13 PM,fhasan@umail.ucsb.edu_ucsb,4/21/2023 10:29:13 PM,fhasan@umail.ucsb.edu_ucsb,4/19/2023 7:00:00 PM,Fez and Ricky,13.25,46,70,50.5,S,3,JUBU,,IV,,5,,Survived,,,5.2,JUBU2,-119.843432612907,34.41309398967
1008,fd11d4d6-6b00-4ee7-9b61-5d6a4cf8acfc,4/21/2023 10:29:15 PM,fhasan@umail.ucsb.edu_ucsb,4/21/2023 10:29:15 PM,fhasan@umail.ucsb.edu_ucsb,4/19/2023 7:00:00 PM,Fez and Ricky,13.25,46,70,50.5,S,3,JUBU,,IV,,5,,Survived,,,5.2,JUBU3,-119.843435153383,34.4131002083672
1009,193e7903-1280-4777-bc7f-672a0a101a7d,4/21/2023 10:29:16 PM,fhasan@umail.ucsb.edu_ucsb,4/21/2023 10:29:16 PM,fhasan@umail.ucsb.edu_ucsb,4/19/2023 7:00:00 PM,Fez and Ricky,13.25,46,70,52,S,3,DEFA,,M,,5+5,,other,Soil moisture ,,5.2,0,-119.843428272842,34.4131025655772
1010,a3b721b5-6e38-48a4-894a-9c56436c3372,4/21/2023 10:29:18 PM,fhasan@umail.ucsb.edu_ucsb,4/21/2023 10:29:18 PM,fhasan@umail.ucsb.edu_ucsb,4/19/2023 7:00:00 PM,Fez and Ricky,13.25,46,70,51.5,S,3,ELMA,,IV,,5+5,,Germinated,,,5.2,DICOT1,-119.843430796449,34.4130935161469
1011,ab83b86e-1339-4430-a5a5-bc23c378a467,4/21/2023 10:29:19 PM,fhasan@umail.ucsb.edu_ucsb,4/21/2023 10:29:19 PM,fhasan@umail.ucsb.edu_ucsb,4/19/2023 7:00:00 PM,Fez and Ricky,13.25,46,70,54,S,3,DEFA,,CP,,5+5,,Survived,,,5.2,JUBU1,-119.843427400514,34.4130959577853
1012,25da7566-fba1-4ffb-a136-a9b34d3b28d3,4/21/2023 10:29:21 PM,fhasan@umail.ucsb.edu_ucsb,4/21/2023 10:29:21 PM,fhasan@umail.ucsb.edu_ucsb,4/19/2023 7:00:00 PM,Fez and Ricky,13.25,46,70,54,S,3,DEFA,,CP,,5+5,,Germinated,,,5.2,JUBU2,-119.843422879329,34.4130980174869
1013,be006465-4684-458c-b25f-2653c4cf5701,4/21/2023 10:29:22 PM,fhasan@umail.ucsb.edu_ucsb,4/21/2023 10:29:22 PM,fhasan@umail.ucsb.edu_ucsb,4/19/2023 7:00:00 PM,Fez and Ricky,13.25,46,70,54,S,3,DEFA,,CP,,5+5,,Germinated,,,5.2,FEPE1,-119.843426331372,34.4130969369885
1014,60776415-0acf-4dc1-9902-c2124d8d8c81,4/21/2023 10:29:24 PM,fhasan@umail.ucsb.edu_ucsb,4/21/2023 10:29:24 PM,fhasan@umail.ucsb.edu_ucsb,4/19/2023 7:00:00 PM,Fez and Ricky,13.25,46,70,43.5,S,3,JUBU,,IV,,10,,Survived,,,5.2,JUBU1,-119.843433975013,34.4130924558036
1015,ff529dea-069e-45b0-8760-3dbbd6443400,4/21/2023 10:29:28 PM,fhasan@umail.ucsb.edu_ucsb,4/21/2023 10:29:28 PM,fhasan@umail.ucsb.edu_ucsb,4/19/2023 7:00:00 PM,Fez and Ricky,13.25,46,70,43.5,S,3,JUBU,,IV,,10,,Survived,,,5.2,JUBU2,-119.843433421609,34.4130948867393
